brand,model,ram,storage,price,display_size,display_type
Condor,NOVA 70SE,8,128,17000,6.6,HD
Condor,NOVA 70I,8,128,18000,6.6,HD
Oppo,A5 Pro,12,256,66000,6.67,Full HD
Realme,13+,12,512,71000,6.67,AMOLED
ACE,Buzz 7 PRIME PLUS,8,64,17000,6,AMOLED
TECNO,MOBILE  TECNO 20C,12,256,24000,6.6,HD
TECNO,MOBILE  TECNO GO 2024,6,64,18000,6.6,HD
TECNO,MOBILE  TECNO GO 2024,8,128,20000,6.6,HD
Honor,X8C,8,512,51000,6.7,AMOLED
ACE,Buzz 7 PRIME PLUS,3,64,17000,6,AMOLED
Realme,NOTE 60X,4,128,23000,6.74,HD
INFINIX,Smart 9,8,128,20000,6.7,HD
Itel,A50,8,128,17000,6.6,HD
Honor,400 Lite,8,256,59000,6.7,AMOLED
Honor,400 Lite,12,256,68000,6.7,AMOLED
Oppo,Oppo Reno12 Pro,12,256,74000,6.7,AMOLED
INFINIX,Hot 50i,16,256,27000,8,HD
Honor,400,12,512,91000,6.5,AMOLED
ACE,Buzz 7 Pro,12,256,24000,6,HD
ACE,BUZZ 6 ULTRA,12,256,24000,6.6,HD
Xiaomi,Poco M7 Pro,8,256,51000,6.7,AMOLED
Honor,300 Pro,12,256,109000,6.78,AMOLED
Vivo,X200 Pro,12,256,165000,7,AMOLED
Samsung,M55,12,256,55000,6,Super AMOLED
Vivo,iQOO Neo10 Pro+,12,256,119000,6.82,AMOLED
OnePlus,13,16,512,169000,6.82,AMOLED
Oppo,Reno14 Pro,12,256,119000,6.83,AMOLED
